benchmark,gap_points,eligible_pairs,flips,observed_flip_rate,bootstrap_ci_low,bootstrap_median,bootstrap_ci_high,random_ci_low,random_median,random_ci_high,one_sided_randomization_p,excess_flip_rate
MMLU,5.0,17452,2674,0.1532202612881045,0.13314103889682552,0.157532675991745,0.18698340289779466,0.025842310336924135,0.030540912216364888,0.03890814806325923,0.000999000999000999,0.12267934907173962
MMLU-Pro,0.25,89,39,0.43820224719101125,0.24719101123595505,0.4,0.5666666666666667,0.2696629213483146,0.3707865168539326,0.47191011235955055,0.11388611388611389,0.06741573033707865
MMLU-Pro,0.5,177,81,0.4576271186440678,0.2768361581920904,0.4124293785310734,0.5674157303370787,0.20903954802259886,0.2824858757062147,0.3559322033898305,0.000999000999000999,0.1751412429378531
MMLU-Pro,1.0,308,145,0.4707792207792208,0.2987012987012987,0.4162612631668007,0.538961038961039,0.13636363636363635,0.18506493506493507,0.24025974025974026,0.000999000999000999,0.2857142857142857
MMLU-Pro,2.0,590,236,0.4,0.2893401015228426,0.3688663282571912,0.4288317602371154,0.0711864406779661,0.09830508474576272,0.1271186440677966,0.000999000999000999,0.3016949152542373
MMLU-Pro,3.0,824,273,0.3313106796116505,0.26212145371223394,0.31390400353904,0.3531660674892944,0.050970873786407765,0.0703883495145631,0.09101941747572816,0.000999000999000999,0.26092233009708743
MMLU-Pro,5.0,1299,306,0.23556581986143188,0.20091992360987743,0.2305319969159599,0.26040983169372994,0.03233256351039261,0.044649730561970746,0.057736720554272515,0.000999000999000999,0.19091608929946113
WinoGrande,0.25,1400,644,0.46,0.22255940751833292,0.30417304981454474,0.3938064846999828,0.4189353953313874,0.45124152505062953,0.4842632331902718,0.3006993006993007,0.008758474949370487
WinoGrande,0.5,2790,1130,0.4050179211469534,0.22201730339347045,0.29840730498128226,0.38189576756157434,0.38614786448136657,0.4154121863799283,0.44925708648525364,0.7492507492507493,-0.01039426523297493
WinoGrande,1.0,5574,1885,0.3381772515249372,0.21928715745366348,0.2878403586676336,0.3622783985717584,0.31596133217066585,0.34692599851855355,0.393323636154018,0.6893106893106893,-0.00874874699361633
WinoGrande,2.0,11688,2639,0.22578713210130047,0.19484136340252803,0.24641493258640795,0.30699382244532397,0.19850817254610698,0.23100655618625549,0.29077887250143214,0.6043956043956044,-0.0052194240849550155
WinoGrande,3.0,17632,2891,0.1639632486388385,0.16415674008337316,0.20478355364406026,0.258799624732577,0.13740464461341703,0.16264104403159912,0.21369494222518617,0.4675324675324675,0.0013222046072393634
WinoGrande,5.0,28247,3002,0.10627677275462881,0.11546567794741823,0.14556459397528398,0.18785615447433793,0.08644648926517758,0.10256546493451912,0.13647310654023417,0.3836163836163836,0.0037113078201096855
