benchmark_direct,audit_half,dimension,mean_log_loss_direct,se_across_validation_models_direct,n_fit_models_direct,n_validation_models_direct,n_calibration_items_direct,n_evaluation_items_direct,one_se_threshold_direct,selected_direct,benchmark_spectral,mean_log_loss_spectral,se_across_validation_models_spectral,n_fit_models_spectral,n_validation_models_spectral,n_calibration_items_spectral,n_evaluation_items_spectral,one_se_threshold_spectral,selected_spectral,benchmark
WinoGrande,discovery,128,0.2686558826832895,0.0136487191751947,517,177,634,633,0.2816461532618344,False,WinoGrande,0.3591866483856287,0.0233757966741399,517,177,634,633,0.3502227766415526,False,WinoGrande
WinoGrande,discovery,256,0.2680044688224713,0.013641684439363,517,177,634,633,0.2816461532618344,False,WinoGrande,0.4354278889311227,0.0287323284634765,517,177,634,633,0.3502227766415526,False,WinoGrande
WinoGrande,validation,1,0.346892904806955,0.0101309951685299,525,169,634,633,0.2910095624046477,False,WinoGrande,0.3807691904077468,0.0141765153748975,525,169,634,633,0.3334491372312333,False,WinoGrande
WinoGrande,validation,2,0.3262136075132089,0.0107103371248344,525,169,634,633,0.2910095624046477,False,WinoGrande,0.3594601009227113,0.0131386454370487,525,169,634,633,0.3334491372312333,False,WinoGrande
WinoGrande,validation,4,0.3090669773914403,0.0107172818584291,525,169,634,633,0.2910095624046477,False,WinoGrande,0.3385462640834999,0.0136503178160604,525,169,634,633,0.3334491372312333,False,WinoGrande
WinoGrande,validation,8,0.2935296543378382,0.0109606239137125,525,169,634,633,0.2910095624046477,False,WinoGrande,0.3275538634866026,0.0140155667620893,525,169,634,633,0.3334491372312333,True,WinoGrande
WinoGrande,validation,16,0.2849484803780461,0.0112478803677648,525,169,634,633,0.2910095624046477,True,WinoGrande,0.3188975548841219,0.0145515823471113,525,169,634,633,0.3334491372312333,False,WinoGrande
WinoGrande,validation,32,0.2806563811549958,0.0113702168651499,525,169,634,633,0.2910095624046477,False,WinoGrande,0.3217033951935218,0.0152992027817199,525,169,634,633,0.3334491372312333,False,WinoGrande
WinoGrande,validation,64,0.2807264348725975,0.0115962858852489,525,169,634,633,0.2910095624046477,False,WinoGrande,0.329053532153114,0.016544226349907,525,169,634,633,0.3334491372312333,False,WinoGrande
WinoGrande,validation,128,0.2801459476830342,0.0118685069377854,525,169,634,633,0.2910095624046477,False,WinoGrande,0.3491072602566681,0.0188937562467905,525,169,634,633,0.3334491372312333,False,WinoGrande
WinoGrande,validation,256,0.2791217852844392,0.0118877771202084,525,169,634,633,0.2910095624046477,False,WinoGrande,0.428509887015696,0.0243363831929701,525,169,634,633,0.3334491372312333,False,WinoGrande
