benchmark,scenario,low_dif_rate,original_random_median,paired_random_median,excess_pp,empirical_upper_p,paired_random_q025,paired_random_q975,all_swapped_rate,low_minus_all_swapped_pp,paired_contrast_two_sided_p,within_low_dif_rate,within_paired_median,within_excess_pp,specificity_excess_pp,specificity_upper_p,matched_anchor_fraction,swappable_weight_fraction,median_control_overlap,n_pairs_total,profile_rms_logit_median_fold_mean,profile_rms_logit_p90_fold_mean,profile_cosine_median_fold_mean,abs_b_difference_median_fold_mean,predicted_probability_rms_median_fold_mean,higher_final_dif_fraction_fold_mean,dif_difference_median_fold_mean,low_mean_audit_residual_dif,control_mean_audit_residual_dif,low_mean_audit_b,control_mean_audit_b,low_mean_audit_discrimination,control_mean_audit_discrimination,low_target_citc,control_target_citc,low_target_independent_item_sem,control_target_independent_item_sem,low_target_weighted_alpha,control_target_weighted_alpha,low_effective_item_count,control_effective_item_count,profile_mean_rms_difference_median,max_axis_smd_median
MMLU,random_pairing,0.40680061823802166,0.16321483771251932,0.16476043276661514,24.204018547140652,0.000999000999000999,0.14064914992272023,0.2034080370942813,0.4420401854714065,-3.523956723338484,0.02197802197802198,0.24099049303559583,0.1390362511052166,10.195424193037923,14.08112867902207,0.000999000999000999,0.9932895488292405,0.9934358353517705,0.5032838378069674,13914,2.400684251533763,3.500444697423264,0.30111965696969356,0.5314173591103848,0.36302191788690785,0.9765703607876959,0.4516454950138656,0.5881704421820597,0.8314562046470712,0.20665335354426317,0.20954451705768895,2.0129960341998343,2.010028564648188,0.31586697469038233,0.3378013637074896,0.0049787755544743045,0.005030256754912616,0.9987672218161241,0.9989331037560574,7002.330057512707,7002.330057512706,0.09100482349413494,0.10140630566741896
MMLU,optimal_unrestricted,0.40680061823802166,0.16321483771251932,0.14650369549910658,26.02969227389151,0.000999000999000999,0.12735703245749613,0.1715842349304482,0.4302936630602782,-2.349304482225656,0.03896103896103896,0.24099049303559583,0.1286472148541114,11.234327818148444,14.820684296528974,0.000999000999000999,0.9932895488292405,0.9934358353517705,0.5032838378069674,13914,1.811394762889742,2.6777580667020953,0.5943463604031582,0.2940367512305623,0.275474386277093,0.9782952422020986,0.4523338765766612,0.5881704421820597,0.8309509699780526,0.20665335354426317,0.20963086746540183,2.0129960341998343,2.0100730163361193,0.31586697469038233,0.3378790612609472,0.0049787755544743045,0.00503044965368531,0.9987672218161241,0.9989331974576345,7002.330057512707,7002.330057512706,0.08984007814281939,0.10001533930289164
MMLU,caliper_1.00,0.40680061823802166,0.16321483771251932,0.4061823802163833,0.061823802163835095,0.3676323676323676,0.40463678516228746,0.4080370942812983,0.40587326120556416,0.09273570324574987,0.6153846153846154,0.24099049303559583,0.24541233694450587,-0.4421843908910039,0.49520551151747416,0.004995004995004995,0.020488292404340375,0.020432074646708206,0.990005711022273,287,0.9077172320401986,0.9869224138083341,0.9108627547924331,0.15322228077975386,0.14147544715417792,0.9631484334874165,0.30073508131249466,0.5881704421820597,0.5916493415965385,0.20665335354426317,0.20689861495341494,2.0129960341998343,2.013025482339902,0.31586697469038233,0.3159678807952785,0.0049787755544743045,0.004978836469736014,0.9987672218161241,0.9987679999919802,7002.330057512707,7002.330057512706,0.001178836252350748,0.0023092002204656414
MMLU,caliper_0.50,0.40680061823802166,0.16321483771251932,0.40680061823802166,0.0,1.0,0.40680061823802166,0.40680061823802166,0.40680061823802166,0.0,1.0,0.24099049303559583,0.24099049303559583,0.0,0.0,1.0,7.138777841233581e-05,7.121492664862555e-05,1.0,1,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.5881704421820597,0.5881704421820597,0.20665335354426317,0.20665335354426317,2.0129960341998343,2.0129960341998343,0.31586697469038233,0.31586697469038233,0.0049787755544743045,0.0049787755544743045,0.9987672218161241,0.9987672218161241,7002.330057512707,7002.330057512707,0.0,0.0
MMLU,caliper_0.25,0.40680061823802166,0.16321483771251932,0.40680061823802166,0.0,1.0,0.40680061823802166,0.40680061823802166,0.40680061823802166,0.0,1.0,0.24099049303559583,0.24099049303559583,0.0,0.0,1.0,7.138777841233581e-05,7.121492664862555e-05,1.0,1,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.5881704421820597,0.5881704421820597,0.20665335354426317,0.20665335354426317,2.0129960341998343,2.0129960341998343,0.31586697469038233,0.31586697469038233,0.0049787755544743045,0.0049787755544743045,0.9987672218161241,0.9987672218161241,7002.330057512707,7002.330057512707,0.0,0.0
HellaSwag,random_pairing,0.30928744760644167,0.11409025847827159,0.11407766990291263,19.520977770352903,0.000999000999000999,0.0975281470257632,0.1317645111454425,0.24509155084932716,6.4195896757114514,0.000999000999000999,0.20427005193306405,0.10246059207996924,10.180945985309481,9.370870668129408,0.000999000999000999,0.9996017522899243,0.9996018315431874,0.5003982477100757,10040,3.4020363155193873,13.403667017862567,0.3689682100729909,1.9996993019673095,0.14013629202667713,0.9695219123505976,0.9664310877740008,0.5754040033206087,1.084140211024136,-1.6406162077798039,-0.8007149881349684,1.177384793923733,1.531811676381004,0.3043480940281256,0.34112929482854165,0.003521498397298225,0.003804057571807479,0.998678498235777,0.9988994816206131,5021.999800955429,5021.999800955429,0.44984011347886077,0.20092202672453985
HellaSwag,optimal_unrestricted,0.30928744760644167,0.11409025847827159,0.1061341571050309,20.315329050141077,0.000999000999000999,0.0935458958517211,0.12051841633362988,0.2451997351578018,6.408771244863987,0.000999000999000999,0.20427005193306405,0.09701920813893611,10.725084379412793,9.565980238512733,0.000999000999000999,0.9996017522899243,0.9996018315431874,0.5003982477100757,10040,2.3062978489361434,10.857573789843439,0.7534228581492046,1.358544570607748,0.09924900271529666,0.9725099601593625,0.9516581034144695,0.5754040033206087,1.084119300137915,-1.6406162077798039,-0.8000832627130678,1.177384793923733,1.5316980920832222,0.3043480940281256,0.34100332344215933,0.003521498397298225,0.0038036547784061916,0.998678498235777,0.9988989756100429,5021.999800955429,5021.999800955429,0.4494315980894942,0.1986597235263305
HellaSwag,caliper_1.00,0.30928744760644167,0.11409025847827159,0.2405649966894725,6.872245091696916,0.000999000999000999,0.2276595383486676,0.2570623186100733,0.20520741394527803,10.408003366116365,0.000999000999000999,0.20427005193306405,0.1721816083108888,3.208844362217525,3.6747165868367224,0.000999000999000999,0.31441656710473914,0.3144122710095307,0.8451812027080845,3158,0.7004650446695743,0.9546451723628103,0.963178475012757,0.20141325444915648,0.07404690027458782,0.8894412676428389,0.7941865297725601,0.5754040033206087,0.7250145016044608,-1.6406162077798039,-1.640531420210906,1.177384793923733,1.175750393254134,0.3043480940281256,0.30679971864899125,0.003521498397298225,0.003549635322751396,0.998678498235777,0.9987129270159707,5021.999800955429,5021.999800955429,0.020436053779269835,0.01013704606354431
HellaSwag,caliper_0.50,0.30928744760644167,0.11409025847827159,0.30406001765225066,0.522742995419101,0.08891108891108891,0.29596115647759874,0.31141408319231856,0.30154525386313463,0.7742193743307035,0.3146853146853147,0.20427005193306405,0.20494325165114374,-0.06731997180796923,0.5897960836283176,0.09490509490509491,0.13152130625248906,0.13152161399827728,0.9368777379530068,1321,0.17433455555693042,0.4721359121613625,0.9958762499918333,0.06150313851199243,0.01548729225754227,0.604560031169454,0.46808382722744407,0.5754040033206087,0.6328619590377675,-1.6406162077798039,-1.6427872873744875,1.177384793923733,1.1774614455835772,0.3043480940281256,0.3046235199431909,0.003521498397298225,0.003520180153258976,0.998678498235777,0.9986825276702574,5021.999800955429,5021.999800955429,0.001690333898239488,0.0011978763947540524
HellaSwag,caliper_0.25,0.30928744760644167,0.11409025847827159,0.31045895851721095,-0.117151091076928,0.7952047952047953,0.3073681194725976,0.31361730302361507,0.3117140966247518,-0.2426649018310134,0.3906093906093906,0.20427005193306405,0.2049259187993073,-0.06558668662432487,-0.0560015475408987,0.5964035964035964,0.04739147749900438,0.04739005412934465,0.9771007566706491,476,0.10376948768087188,0.1212633630931254,0.9986954316559578,0.039667588106954144,0.008090643178841665,0.4989538416753089,0.437199903319207,0.5754040033206087,0.5887717726869719,-1.6406162077798039,-1.6407555960137723,1.177384793923733,1.1774330417148056,0.3043480940281256,0.30436919253333405,0.003521498397298225,0.003521030241794198,0.998678498235777,0.998678466490573,5021.999800955429,5021.999800955429,0.00017586936601371456,9.811544502379068e-05
